taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note,sample
2KFUCOV_47_S91_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_47
3KFUCOV_2,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,3KFU_COV_2
2KFU_COV_2_S50_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_2
ICOV_012_SW1_S80,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_012
RCOV_015_SW1_S2,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,RCOV_015
ICOV_16521_S24_L001,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,16521
KFU_COV_144_S67_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_144
NCOV3920_S73_L002,B.1.1.407,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,NCOV3920
ICOV_066_SW1,B.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_066
KFU_COV_116_S57_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_116
5COV_094_SW1_S94_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_094
2KFUCOV_49_S113_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_49
5COV_024_SW1_S15_L001,B.1.1.163,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_024
IG_214,B.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_214
ICOV_075_SW1,B.1.1.372,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_075
IG_270,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_270
ICOV_033_SW1,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_033
ICOV_8746_S16_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,8746
KFU_COV_105_S52_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_105
2KFU_COV_3_S62_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_3
ICOV_16731_S21_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,16731
5COV_055_SW1_S86_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_055
2KFUCOV_33_S111_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_33
63816_S38,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,63816
ICOV_8670_S15_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,8670
ICOV_8486_S11_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,8486
IG_269,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_269
BCOV_002_SW1_S34,B.1.1,0,0.999903943134336,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,BCOV_002
KFU_COV_46_S44_L001,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_46
5COV_034_SW1_S71,B.1.1.317,0,0.999917105317694,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_034
BCOV_009_SW1_S14_L001,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,BCOV_009
IAM10_S5,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IAM10
KFU_COV_125_S60_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_125
Lisa_COV_S37_L002,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,Ls_COV
2KFUCOV_8_S28_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_8
ICOV_028_SW1,B.1.1.141,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_028
RCOV_029_SW1_S81,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,RCOV_029
IG_280,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_280
2KFUCOV_42_S32_L002,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_42
IAM06_S64,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IAM06
6487_S78,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6487
2KFUCOV_46_S79_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_46
3KFUCOV_7,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,3KFU_COV_7
KFU_COV_107_S53_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_107
ICOV_040_SW1,B.1.1.141,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_040
5COV-002-SW1_S5_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV-002-SW1
83_10_S7,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,83_10
2KFUCOV_54,B.1.1.378,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_54
5COV_022_SW1_S82,B.1.1.163,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_022
86756_S4,B.1.1.54,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,86756
ICOV_037_SW1,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,ICOV_037
Mavlenkin_S95_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,Mavlenkin
KFU_COV_23_S35_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,KFU_23
5COV_071_SW1_S81_L002,B.1.1.194,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_071
RCOV_038_SW1,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,RCOV_038
5COV_066_SW1_S96_L001,B.1.1.317,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_066
5COV_067_SW1_S69_L002,B.1.1,0,0.999922812705029,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_067
5COV_001_SW1_S4_L001,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_001
2KFUCOV_55,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_55
2KFUCOV_30_S77_L002,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,2KFU_COV_30
6013_S65,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,6013
IG_283,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_283
5COV_050_SW1_S33_L001,B.1.1.294,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,5COV_050
IG_287,B.1.1,0,1,NA,NA,NA,PLEARN-v1.2.6,3.0.3,2021-05-27,v1.2.6,passed_qc,,IG_287
